"행정구역","2019년02월_계_총인구수","2019년02월_계_연령구간인구수","2019년02월_계_0~9세","2019년02월_계_10~19세","2019년02월_계_20~29세","2019년02월_계_30~39세","2019년02월_계_40~49세","2019년02월_계_50~59세","2019년02월_계_60~69세","2019년02월_계_70~79세","2019년02월_계_80~89세","2019년02월_계_90~99세","2019년02월_계_100세 이상"
"서울특별시  (1100000000)","9,770,638","9,770,638","684,865","850,988","1,450,056","1,542,458","1,590,205","1,549,903","1,150,566","665,037","243,535","37,093","5,932"
"서울특별시 종로구 (1111000000)","152,880","152,880","8,502","12,327","23,638","21,128","23,761","25,773","18,708","12,549","5,291","967","236"
"서울특별시 종로구 청운효자동(1111051500)","13,010","13,010","934","1,349","1,631","1,883","2,319","1,982","1,315","1,042","464","75","16"
"서울특별시 종로구 사직동(1111053000)","9,584","9,584","666","780","1,201","1,414","1,570","1,538","1,117","783","420","78","17"
"서울특별시 종로구 삼청동(1111054000)","2,820","2,820","136","212","339","424","393","452","398","296","137","26","7"
"서울특별시 종로구 부암동(1111055000)","10,142","10,142","608","933","1,429","1,321","1,633","1,714","1,239","808","375","72","10"
"서울특별시 종로구 평창동(1111056000)","18,881","18,881","1,213","1,874","2,663","2,329","2,919","3,331","2,267","1,416","692","151","26"
"서울특별시 종로구 무악동(1111057000)","8,415","8,415","712","1,044","927","920","1,618","1,329","927","612","265","46","15"
"서울특별시 종로구 교남동(1111058000)","10,704","10,704","946","872","1,350","1,910","1,904","1,561","1,120","718","266","44","13"
"서울특별시 종로구 가회동(1111060000)","4,412","4,412","222","375","501","606","782","731","544","445","160","39","7"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,347","7,347","226","247","914","921","965","1,428","1,365","830","331","86","34"
"서울특별시 종로구 종로5.6가동(1111063000)","5,220","5,220","133","288","943","647","692","1,019","717","538","193","43","7"
"서울특별시 종로구 이화동(1111064000)","8,101","8,101","309","512","1,783","1,381","1,092","1,175","899","621","276","40","13"
"서울특별시 종로구 혜화동(1111065000)","17,016","17,016","795","1,451","4,355","2,289","2,397","2,284","1,533","1,268","556","71","17"
"서울특별시 종로구 창신제1동(1111067000)","5,338","5,338","181","295","635","576","743","1,185","955","542","180","40","6"
"서울특별시 종로구 창신제2동(1111068000)","8,753","8,753","310","602","1,281","962","1,334","1,853","1,269","801","287","43","11"
"서울특별시 종로구 창신제3동(1111069000)","7,213","7,213","429","610","1,037","1,066","1,048","1,312","906","539","217","37","12"
"서울특별시 종로구 숭인제1동(1111070000)","6,326","6,326","338","450","831","918","1,002","1,157","852","528","210","32","8"
"서울특별시 종로구 숭인제2동(1111071000)","9,598","9,598","344","433","1,818","1,561","1,350","1,722","1,285","762","262","44","17"
"서울특별시 중구 (1114000000)","125,995","125,995","7,557","7,690","18,290","20,736","18,925","21,033","16,444","10,140","4,260","739","181"
"서울특별시 중구 소공동(1114052000)","2,046","2,046","194","106","216","468","418","272","219","105","34","11","3"
"서울특별시 중구 회현동(1114054000)","5,364","5,364","222","206","549","585","744","1,082","1,043","561","254","83","35"
"서울특별시 중구 명동(1114055000)","2,808","2,808","111","113","276","370","459","491","532","296","124","29","7"
"서울특별시 중구 필동(1114057000)","4,042","4,042","218","206","650","649","524","649","585","346","164","42","9"
"서울특별시 중구 장충동(1114058000)","4,734","4,734","198","366","1,152","697","631","617","511","375","159","25","3"
"서울특별시 중구 광희동(1114059000)","4,932","4,932","156","218","716","720","630","907","850","501","189","32","13"
"서울특별시 중구 을지로동(1114060500)","1,760","1,760","50","37","215","234","196","365","371","190","75","18","9"
"서울특별시 중구 신당동(1114061500)","7,710","7,710","268","375","1,373","1,286","1,191","1,388","921","632","225","43","8"
"서울특별시 중구 다산동(1114062500)","14,610","14,610","658","1,000","2,370","2,387","2,237","2,373","1,863","1,237","408","64","13"
"서울특별시 중구 약수동(1114063500)","17,725","17,725","1,300","1,089","2,126","2,753","2,648","2,896","2,496","1,554","738","111","14"
"서울특별시 중구 청구동(1114064500)","14,594","14,594","912","1,030","2,076","2,364","2,162","2,456","1,789","1,163","555","79","8"
"서울특별시 중구 신당제5동(1114065000)","9,400","9,400","591","628","1,327","1,393","1,550","1,698","1,160","723","287","34","9"
"서울특별시 중구 동화동(1114066500)","11,024","11,024","832","919","1,587","1,536","1,703","1,994","1,287","729","359","66","12"
"서울특별시 중구 황학동(1114067000)","12,528","12,528","773","564","2,099","2,779","1,842","1,833","1,442","831","311","43","11"
"서울특별시 중구 중림동(1114068000)","12,718","12,718","1,074","833","1,558","2,515","1,990","2,012","1,375","897","378","59","27"
"서울특별시 용산구 (1117000000)","229,279","229,279","14,528","17,084","32,645","38,246","37,049","36,349","26,745","17,018","7,860","1,417","338"
"서울특별시 용산구 후암동(1117051000)","18,162","18,162","1,124","1,452","2,608","2,966","2,925","2,911","2,127","1,319","566","138","26"
"서울특별시 용산구 용산2가동(1117052000)","10,675","10,675","484","695","1,637","1,861","1,542","1,628","1,435","901","403","69","20"
"서울특별시 용산구 남영동(1117053000)","7,855","7,855","261","294","974","1,063","1,213","1,709","1,310","679","262","61","29"
"서울특별시 용산구 청파동(1117055500)","20,065","20,065","801","1,401","4,002","3,110","3,058","3,160","2,250","1,549","610","93","31"
"서울특별시 용산구 원효로제1동(1117056000)","15,575","15,575","1,359","916","2,368","3,574","2,516","2,105","1,499","820","331","69","18"
"서울특별시 용산구 원효로제2동(1117057000)","14,862","14,862","1,071","1,462","1,948","2,207","2,525","2,348","1,694","1,040","489","65","13"
"서울특별시 용산구 효창동(1117058000)","9,022","9,022","694","764","1,337","1,609","1,426","1,355","886","598","295","46","12"
"서울특별시 용산구 용문동(1117059000)","12,618","12,618","892","997","1,780","2,137","2,006","1,982","1,479","923","350","60","12"
"서울특별시 용산구 한강로동(1117062500)","17,792","17,792","931","891","2,690","3,489","2,598","2,960","2,157","1,303","602","132","39"
"서울특별시 용산구 이촌제1동(1117063000)","28,307","28,307","2,921","3,064","2,968","3,865","5,271","4,268","2,714","1,875","1,121","207","33"
"서울특별시 용산구 이촌제2동(1117064000)","8,946","8,946","624","565","1,009","1,569","1,285","1,432","1,261","770","355","61","15"
"서울특별시 용산구 이태원제1동(1117065000)","7,020","7,020","294","328","1,049","1,144","970","1,153","1,005","641","359","57","20"
"서울특별시 용산구 이태원제2동(1117066000)","9,413","9,413","491","557","1,383","1,655","1,471","1,357","1,133","888","395","69","14"
"서울특별시 용산구 한남동(1117068500)","20,619","20,619","1,129","1,162","2,791","4,065","3,365","3,184","2,540","1,607","623","124","29"
"서울특별시 용산구 서빙고동(1117069000)","13,468","13,468","907","1,585","1,791","1,588","2,571","2,205","1,298","856","586","73","8"
"서울특별시 용산구 보광동(1117070000)","14,880","14,880","545","951","2,310","2,344","2,307","2,592","1,957","1,249","513","93","19"
"서울특별시 성동구 (1120000000)","307,064","307,064","22,711","22,900","46,702","52,803","48,936","49,385","34,539","20,156","7,654","1,049","229"
"서울특별시 성동구 왕십리제2동(1120052000)","17,754","17,754","1,287","1,402","2,632","3,163","2,841","2,834","1,981","1,126","406","64","18"
"서울특별시 성동구 왕십리도선동(1120053500)","27,430","27,430","2,616","1,712","4,494","4,961","4,173","4,442","2,724","1,563","631","88","26"
"서울특별시 성동구 마장동(1120054000)","23,504","23,504","1,396","1,876","4,418","3,470","3,305","3,859","2,807","1,657","619","82","15"
"서울특별시 성동구 사근동(1120055000)","11,653","11,653","474","900","4,116","1,677","1,257","1,274","926","740","249","33","7"
"서울특별시 성동구 행당제1동(1120056000)","16,294","16,294","1,096","1,210","2,699","2,688","2,544","2,673","1,824","1,091","403","57","9"
"서울특별시 성동구 행당제2동(1120057000)","24,851","24,851","2,089","2,410","3,093","3,923","4,523","3,876","2,609","1,620","595","93","20"
"서울특별시 성동구 응봉동(1120058000)","16,243","16,243","1,325","1,856","1,779","2,391","3,179","2,385","1,657","1,150","460","55","6"
"서울특별시 성동구 금호1가동(1120059000)","16,054","16,054","1,335","1,235","1,969","2,967","2,652","2,462","1,881","1,044","449","47","13"
"서울특별시 성동구 금호2.3가동(1120061500)","24,189","24,189","1,910","1,728","3,026","4,537","3,981","3,674","2,806","1,745","653","105","24"
"서울특별시 성동구 금호4가동(1120062000)","15,273","15,273","1,539","1,000","1,701","3,002","2,667","2,223","1,677","1,028","375","52","9"
"서울특별시 성동구 옥수동(1120064500)","27,001","27,001","2,732","1,773","3,220","5,433","4,412","4,009","2,940","1,647","696","113","26"
"서울특별시 성동구 성수1가제1동(1120065000)","17,206","17,206","1,144","1,360","2,671","3,002","2,730","3,094","1,871","938","346","40","10"
"서울특별시 성동구 성수1가제2동(1120066000)","15,198","15,198","952","1,089","2,444","2,823","2,462","2,394","1,704","932","342","43","13"
"서울특별시 성동구 성수2가제1동(1120067000)","17,537","17,537","941","1,159","2,478","2,770","2,646","3,424","2,396","1,199","442","69","13"
"서울특별시 성동구 성수2가제3동(1120069000)","11,540","11,540","681","614","2,030","2,113","1,573","1,956","1,445","785","302","32","9"
"서울특별시 성동구 송정동(1120072000)","11,260","11,260","619","706","1,730","1,826","1,716","2,153","1,464","741","265","33","7"
"서울특별시 성동구 용답동(1120079000)","14,077","14,077","575","870","2,202","2,057","2,275","2,653","1,827","1,150","421","43","4"
"서울특별시 광진구 (1121500000)","355,387","355,387","22,930","28,952","61,370","60,199","56,028","56,449","38,961","21,454","7,731","1,122","191"
"서울특별시 광진구 화양동(1121571000)","21,743","21,743","515","821","8,651","4,281","2,231","2,102","1,665","1,023","378","58","18"
"서울특별시 광진구 군자동(1121573000)","19,892","19,892","1,102","1,201","4,112","3,700","2,738","2,977","2,192","1,349","459","54","8"
"서울특별시 광진구 중곡제1동(1121574000)","16,076","16,076","914","911","2,622","3,183","2,392","2,642","1,904","1,147","303","49","9"
"서울특별시 광진구 중곡제2동(1121575000)","22,354","22,354","1,454","1,578","3,731","4,136","3,260","3,757","2,558","1,392","417","62","9"
"서울특별시 광진구 중곡제3동(1121576000)","17,534","17,534","962","1,179","2,730","3,017","2,583","3,205","2,155","1,234","393","61","15"
"서울특별시 광진구 중곡제4동(1121577000)","30,630","30,630","1,834","2,327","4,636","4,720","4,699","5,624","3,871","2,138","658","96","27"
"서울특별시 광진구 능동(1121578000)","11,563","11,563","662","587","2,270","2,763","1,644","1,454","1,162","716","253","49","3"
"서울특별시 광진구 광장동(1121581000)","36,071","36,071","3,564","5,748","4,195","4,232","8,012","5,241","2,767","1,450","739","113","10"
"서울특별시 광진구 자양제1동(1121582000)","23,271","23,271","1,185","1,740","4,239","4,105","3,608","3,744","2,609","1,471","488","69","13"
"서울특별시 광진구 자양제2동(1121583000)","26,986","26,986","1,958","2,155","4,014","4,547","4,344","4,432","3,300","1,603","541","82","10"
"서울특별시 광진구 자양제3동(1121584000)","29,687","29,687","2,677","2,916","4,097","4,654","4,893","4,833","3,209","1,529","766","103","10"
"서울특별시 광진구 자양제4동(1121584700)","19,242","19,242","858","1,031","2,884","3,023","2,766","3,582","2,866","1,594","550","74","14"
"서울특별시 광진구 구의제1동(1121585000)","22,535","22,535","1,093","1,416","4,582","4,460","3,401","3,353","2,234","1,421","495","66","14"
"서울특별시 광진구 구의제2동(1121586000)","27,688","27,688","2,049","2,552","3,730","4,361","4,596","4,571","3,284","1,805","637","79","24"
"서울특별시 광진구 구의제3동(1121587000)","30,115","30,115","2,103","2,790","4,877","5,017","4,861","4,932","3,185","1,582","654","107","7"
"서울특별시 동대문구 (1123000000)","347,459","347,459","22,622","26,545","54,256","52,319","53,544","55,384","43,472","27,544","10,081","1,436","256"
"서울특별시 동대문구 용신동(1123053600)","30,476","30,476","1,511","1,628","5,327","5,141","4,449","4,902","3,767","2,596","981","152","22"
"서울특별시 동대문구 제기동(1123054500)","25,178","25,178","1,168","1,555","4,142","3,569","3,350","4,053","3,637","2,532","1,018","134","20"
"서울특별시 동대문구 전농제1동(1123056000)","30,570","30,570","2,035","2,195","4,584","4,536","4,544","5,155","3,898","2,527","935","124","37"
"서울특별시 동대문구 전농제2동(1123057000)","19,861","19,861","1,429","1,959","2,467","2,541","3,297","3,347","2,515","1,571","659","66","10"
"서울특별시 동대문구 답십리제1동(1123060000)","29,158","29,158","2,867","2,103","3,998","5,674","4,640","4,375","2,934","1,772","667","102","26"
"서울특별시 동대문구 답십리제2동(1123061000)","29,456","29,456","1,964","2,373","3,870","4,223","4,666","5,125","3,865","2,383","865","104","18"
"서울특별시 동대문구 장안제1동(1123065000)","38,545","38,545","2,744","2,835","5,204","6,636","6,414","6,179","4,924","2,658","799","131","21"
"서울특별시 동대문구 장안제2동(1123066000)","31,355","31,355","2,775","2,913","3,621","4,904","5,652","4,824","3,843","2,067","628","117","11"
"서울특별시 동대문구 청량리동(1123070500)","21,796","21,796","1,040","1,343","2,655","2,669","2,979","3,986","3,584","2,440","942","133","25"
"서울특별시 동대문구 회기동(1123071000)","10,342","10,342","548","767","2,844","1,604","1,378","1,192","955","711","275","56","12"
"서울특별시 동대문구 휘경제1동(1123072000)","12,810","12,810","565","836","2,754","1,872","1,770","1,975","1,526","1,060","393","51","8"
"서울특별시 동대문구 휘경제2동(1123073000)","24,654","24,654","1,498","2,308","5,059","3,240","3,706","3,633","2,837","1,690","591","83","9"
"서울특별시 동대문구 이문제1동(1123074000)","21,903","21,903","969","1,720","4,874","2,872","3,125","3,166","2,536","1,809","699","102","31"
"서울특별시 동대문구 이문제2동(1123075000)","21,355","21,355","1,509","2,010","2,857","2,838","3,574","3,472","2,651","1,728","629","81","6"
"서울특별시 중랑구 (1126000000)","402,616","402,616","25,967","30,215","57,304","61,796","61,285","72,036","52,898","29,523","10,027","1,389","176"
"서울특별시 중랑구 면목제2동(1126052000)","26,046","26,046","1,581","1,922","3,529","3,825","4,181","5,019","3,358","1,896","636","90","9"
"서울특별시 중랑구 면목제4동(1126054000)","20,371","20,371","1,253","1,462","2,856","3,142","3,227","3,437","2,755","1,728","433","69","9"
"서울특별시 중랑구 면목제5동(1126055000)","9,935","9,935","587","740","1,336","1,488","1,534","1,880","1,329","764","244","30","3"
"서울특별시 중랑구 면목본동(1126056500)","35,721","35,721","1,992","2,338","5,358","5,867","5,479","6,554","4,566","2,618","831","94","24"
"서울특별시 중랑구 면목제7동(1126057000)","21,936","21,936","1,248","1,369","3,141","3,277","3,237","4,057","3,157","1,766","601","70","13"
"서울특별시 중랑구 면목제3.8동(1126057500)","26,516","26,516","1,326","1,826","3,863","3,921","3,944","4,906","3,731","2,213","680","96","10"
"서울특별시 중랑구 상봉제1동(1126058000)","25,382","25,382","1,969","2,274","3,784","3,841","3,820","4,562","2,950","1,558","554","68","2"
"서울특별시 중랑구 상봉제2동(1126059000)","19,013","19,013","884","965","3,466","3,825","2,714","3,151","2,269","1,253","417","56","13"
"서울특별시 중랑구 중화제1동(1126060000)","20,835","20,835","1,455","1,522","3,100","3,446","2,894","3,675","2,782","1,389","499","68","5"
"서울특별시 중랑구 중화제2동(1126061000)","28,057","28,057","1,231","1,605","4,019","4,231","4,088","5,643","4,052","2,316","754","106","12"
"서울특별시 중랑구 묵제1동(1126062000)","36,069","36,069","2,746","3,306","4,956","5,618","6,063","5,695","4,270","2,459","836","100","20"
"서울특별시 중랑구 묵제2동(1126063000)","20,078","20,078","1,287","1,380","2,944","3,410","3,028","3,326","2,740","1,459","437","58","9"
"서울특별시 중랑구 망우본동(1126065500)","31,359","31,359","1,739","2,186","4,342","4,444","4,578","6,041","4,604","2,416","857","135","17"
"서울특별시 중랑구 망우제3동(1126066000)","18,012","18,012","981","1,399","2,488","2,471","2,686","3,471","2,531","1,413","489","69","14"
"서울특별시 중랑구 신내1동(1126068000)","41,044","41,044","4,031","3,886","5,372","5,681","6,277","6,892","4,862","2,737","1,103","191","12"
"서울특별시 중랑구 신내2동(1126069000)","22,242","22,242","1,657","2,035","2,750","3,309","3,535","3,727","2,942","1,538","656","89","4"
"서울특별시 성북구 (1129000000)","435,754","435,754","31,018","39,967","63,774","61,495","73,027","68,598","50,941","32,482","12,368","1,745","339"
"서울특별시 성북구 성북동(1129052500)","17,301","17,301","944","1,367","2,725","2,685","2,753","2,756","1,912","1,386","646","112","15"
"서울특별시 성북구 삼선동(1129055500)","26,400","26,400","1,476","2,311","4,603","3,911","4,337","4,071","2,839","1,945","770","109","28"
"서울특별시 성북구 동선동(1129057500)","15,589","15,589","667","1,112","4,065","2,700","2,180","1,879","1,429","1,075","397","69","16"
"서울특별시 성북구 돈암제1동(1129058000)","16,205","16,205","990","1,549","2,254","2,206","2,505","2,839","2,081","1,229","489","52","11"
"서울특별시 성북구 돈암제2동(1129059000)","25,127","25,127","2,337","3,026","3,018","3,275","4,863","3,995","2,467","1,410","635","91","10"
"서울특별시 성북구 안암동(1129060000)","15,281","15,281","532","1,073","4,526","2,231","1,906","2,111","1,418","1,016","407","49","12"
"서울특별시 성북구 보문동(1129061000)","16,641","16,641","1,104","1,101","2,899","2,877","2,653","2,631","1,788","1,061","447","68","12"
"서울특별시 성북구 정릉제1동(1129062000)","18,440","18,440","1,532","1,853","2,252","2,765","3,283","2,742","2,071","1,349","518","62","13"
"서울특별시 성북구 정릉제2동(1129063000)","23,979","23,979","1,755","2,166","3,124","3,288","3,911","3,822","3,197","1,915","693","90","18"
"서울특별시 성북구 정릉제3동(1129064000)","15,929","15,929","779","1,211","2,888","2,085","2,167","2,468","2,121","1,517","583","100","10"
"서울특별시 성북구 정릉제4동(1129065000)","26,757","26,757","2,000","2,438","3,284","3,802","4,599","4,196","3,416","2,148","740","119","15"
"서울특별시 성북구 길음제1동(1129066000)","37,532","37,532","4,557","4,899","3,485","5,497","8,295","4,704","3,136","2,084","740","111","24"
"서울특별시 성북구 길음제2동(1129068500)","11,743","11,743","905","1,086","1,444","1,583","2,049","1,933","1,491","858","327","50","17"
"서울특별시 성북구 종암동(1129070500)","40,799","40,799","3,172","4,016","5,829","5,654","6,922","6,449","4,391","2,860","1,259","211","36"
"서울특별시 성북구 월곡제1동(1129071500)","27,651","27,651","2,405","2,813","3,111","3,811","4,988","4,250","3,382","2,066","723","81","21"
"서울특별시 성북구 월곡제2동(1129072500)","20,096","20,096","1,311","1,591","3,340","2,862","3,125","3,107","2,513","1,539","608","89","11"
"서울특별시 성북구 장위제1동(1129076000)","20,972","20,972","1,091","1,826","3,013","2,578","3,283","4,031","2,842","1,641","585","67","15"
"서울특별시 성북구 장위제2동(1129077000)","14,558","14,558","647","1,094","1,864","1,680","2,202","2,730","2,245","1,473","529","69","25"
"서울특별시 성북구 장위제3동(1129078000)","11,454","11,454","858","1,074","1,345","1,427","1,919","2,041","1,507","937","301","30","15"
"서울특별시 성북구 석관동(1129081000)","33,300","33,300","1,956","2,361","4,705","4,578","5,087","5,843","4,695","2,973","971","116","15"
"서울특별시 강북구 (1130500000)","318,268","318,268","18,503","25,041","43,710","42,942","50,401","54,285","43,069","28,995","9,782","1,312","228"
"서울특별시 강북구 삼양동(1130553400)","26,243","26,243","1,575","2,340","3,300","3,490","4,119","4,700","3,604","2,233","740","115","27"
"서울특별시 강북구 미아동(1130553500)","22,682","22,682","1,001","1,568","3,715","3,160","3,345","3,955","3,126","2,015","710","76","11"
"서울특별시 강북구 송중동(1130554500)","28,847","28,847","1,503","2,121","4,020","3,993","4,529","4,938","4,132","2,635","845","106","25"
"서울특별시 강북구 송천동(1130555500)","28,959","28,959","1,375","1,970","3,904","3,758","4,316","5,452","4,342","2,743","949","131","19"
"서울특별시 강북구 삼각산동(1130557500)","33,290","33,290","3,478","4,276","3,435","4,475","6,928","4,860","3,126","1,888","703","100","21"
"서울특별시 강북구 번1동(1130559500)","19,487","19,487","826","1,241","3,293","3,039","3,082","3,244","2,439","1,724","516","75","8"
"서울특별시 강북구 번2동(1130560300)","17,360","17,360","888","1,305","2,220","2,148","2,727","2,956","2,573","1,915","560","64","4"
"서울특별시 강북구 번3동(1130560800)","18,799","18,799","1,134","1,632","2,159","2,105","3,046","2,927","2,654","2,411","632","87","12"
"서울특별시 강북구 수유1동(1130561500)","21,942","21,942","1,186","1,580","3,231","3,006","3,261","3,860","3,057","1,923","709","94","35"
"서울특별시 강북구 수유2동(1130562500)","22,105","22,105","1,251","1,656","3,096","2,782","3,382","3,845","3,085","2,079","832","93","4"
"서울특별시 강북구 수유3동(1130563500)","24,156","24,156","1,056","1,302","4,257","3,786","3,543","4,147","3,179","2,098","688","84","16"
"서울특별시 강북구 우이동(1130564500)","21,611","21,611","1,319","1,595","2,759","2,826","3,236","3,723","3,048","2,185","758","132","30"
"서울특별시 강북구 인수동(1130566000)","32,787","32,787","1,911","2,455","4,321","4,374","4,887","5,678","4,704","3,146","1,140","155","16"
"서울특별시 도봉구 (1132000000)","338,373","338,373","21,866","29,343","45,791","45,094","52,813","59,557","45,603","26,536","10,141","1,481","148"
"서울특별시 도봉구 창제1동(1132051100)","26,501","26,501","1,832","2,501","3,514","3,779","4,509","4,359","3,199","1,945","737","120","6"
"서울특별시 도봉구 창제2동(1132051200)","30,984","30,984","2,262","2,599","4,367","4,650","4,976","5,309","3,733","2,215","793","78","2"
"서울특별시 도봉구 창제3동(1132051300)","15,021","15,021","924","1,253","1,953","1,926","2,397","2,719","2,019","1,320","435","64","11"
"서울특별시 도봉구 창제4동(1132051400)","28,301","28,301","2,080","3,010","3,829","3,711","4,852","5,041","3,139","1,685","814","134","6"
"서울특별시 도봉구 창제5동(1132051500)","25,837","25,837","1,762","2,251","3,669","3,752","3,827","4,658","3,357","1,700","750","101","10"
"서울특별시 도봉구 도봉제1동(1132052100)","22,599","22,599","1,109","1,389","2,830","2,743","3,232","4,050","3,683","2,578","863","105","17"
"서울특별시 도봉구 도봉제2동(1132052200)","28,770","28,770","1,922","1,968","3,508","4,004","4,035","4,827","4,624","2,702","1,015","139","26"
"서울특별시 도봉구 쌍문제1동(1132066000)","22,160","22,160","1,311","1,946","3,073","2,681","3,530","3,801","3,039","1,986","672","104","17"
"서울특별시 도봉구 쌍문제2동(1132067000)","20,283","20,283","1,251","1,657","2,739","3,015","3,021","3,478","2,748","1,588","676","95","15"
"서울특별시 도봉구 쌍문제3동(1132068000)","17,294","17,294","963","1,182","2,579","2,584","2,597","2,900","2,313","1,583","518","70","5"
"서울특별시 도봉구 쌍문제4동(1132068100)","20,039","20,039","1,356","2,210","2,812","2,506","3,257","3,632","2,503","1,139","520","100","4"
"서울특별시 도봉구 방학제1동(1132069000)","30,191","30,191","1,787","2,522","4,231","3,719","4,666","5,586","4,268","2,466","799","137","10"
"서울특별시 도봉구 방학제2동(1132070000)","21,290","21,290","1,142","1,745","2,899","2,551","3,259","3,973","3,081","1,875","650","102","13"
"서울특별시 도봉구 방학제3동(1132071000)","29,103","29,103","2,165","3,110","3,788","3,473","4,655","5,224","3,897","1,754","899","132","6"
"서울특별시 노원구 (1135000000)","541,800","541,800","37,743","59,837","75,647","70,680","93,048","89,646","62,632","35,493","14,714","2,107","253"
"서울특별시 노원구 월계1동(1135056000)","23,615","23,615","1,495","1,902","3,961","3,152","3,680","3,739","3,074","1,852","654","93","13"
"서울특별시 노원구 월계2동(1135057000)","26,404","26,404","1,810","2,340","3,075","3,330","4,277","4,386","3,925","2,229","881","142","9"
"서울특별시 노원구 월계3동(1135058000)","32,189","32,189","2,726","2,438","3,818","5,263","4,989","4,981","4,389","2,520","925","127","13"
"서울특별시 노원구 공릉1동(1135059500)","38,975","38,975","2,491","3,094","6,811","6,124","5,754","6,127","5,005","2,489","926","140","14"
"서울특별시 노원구 공릉2동(1135060000)","40,929","40,929","3,312","4,935","6,551","5,643","7,072","6,242","4,144","2,051","849","119","11"
"서울특별시 노원구 하계1동(1135061100)","28,984","28,984","1,331","3,822","5,185","2,956","4,730","5,162","3,121","1,714","838","117","8"
"서울특별시 노원구 하계2동(1135061200)","23,734","23,734","1,706","3,239","3,312","2,720","4,445","4,090","2,198","1,322","622","75","5"
"서울특별시 노원구 중계본동(1135061900)","26,654","26,654","1,720","4,833","3,654","2,046","5,665","4,772","2,172","1,140","555","85","12"
"서울특별시 노원구 중계1동(1135062100)","28,313","28,313","2,086","6,097","3,190","2,121","6,987","4,521","1,780","999","465","55","12"
"서울특별시 노원구 중계4동(1135062400)","21,672","21,672","1,347","2,629","2,735","2,233","3,908","3,682","2,595","1,763","681","88","11"
"서울특별시 노원구 중계2.3동(1135062500)","37,460","37,460","2,553","3,793","4,587","4,806","6,511","5,841","4,593","3,208","1,379","175","14"
"서울특별시 노원구 상계1동(1135063000)","40,625","40,625","2,675","3,766","5,732","5,418","6,285","7,289","5,310","2,754","1,158","187","51"
"서울특별시 노원구 상계2동(1135064000)","21,367","21,367","1,143","2,115","3,525","2,542","3,406","4,001","2,637","1,379","526","80","13"
"서울특별시 노원구 상계3.4동(1135066500)","26,314","26,314","1,378","2,234","3,192","2,842","4,076","4,780","3,958","2,698","993","137","26"
"서울특별시 노원구 상계5동(1135067000)","26,005","26,005","1,306","2,432","3,689","2,980","4,147","4,768","3,455","2,225","843","134","26"
"서울특별시 노원구 상계6.7동(1135069500)","35,222","35,222","2,981","3,555","4,784","5,375","6,201","5,740","3,647","1,899","901","136","3"
