"행정구역","2019년02월_남_총인구수","2019년02월_남_연령구간인구수","2019년02월_남_0~4세","2019년02월_남_5~9세","2019년02월_남_10~14세","2019년02월_남_15~19세","2019년02월_남_20~24세","2019년02월_남_25~29세","2019년02월_남_30~34세","2019년02월_남_35~39세","2019년02월_남_40~44세","2019년02월_남_45~49세","2019년02월_남_50~54세","2019년02월_남_55~59세","2019년02월_남_60~64세","2019년02월_남_65~69세","2019년02월_남_70~74세","2019년02월_남_75~79세","2019년02월_남_80~84세","2019년02월_남_85~89세","2019년02월_남_90~94세","2019년02월_남_95~99세","2019년02월_남_100세 이상","2019년02월_여_총인구수","2019년02월_여_연령구간인구수","2019년02월_여_0~4세","2019년02월_여_5~9세","2019년02월_여_10~14세","2019년02월_여_15~19세","2019년02월_여_20~24세","2019년02월_여_25~29세","2019년02월_여_30~34세","2019년02월_여_35~39세","2019년02월_여_40~44세","2019년02월_여_45~49세","2019년02월_여_50~54세","2019년02월_여_55~59세","2019년02월_여_60~64세","2019년02월_여_65~69세","2019년02월_여_70~74세","2019년02월_여_75~79세","2019년02월_여_80~84세","2019년02월_여_85~89세","2019년02월_여_90~94세","2019년02월_여_95~99세","2019년02월_여_100세 이상"
"서울특별시  (1100000000)","4,773,605","4,773,605","164,158","187,120","195,445","242,263","322,268","392,650","362,215","409,300","365,031","423,860","380,516","377,701","323,727","220,991","173,129","130,789","67,107","24,292","7,169","2,377","1,497","4,997,033","4,997,033","155,757","177,830","183,677","229,603","336,315","398,823","364,669","406,274","370,267","431,047","391,070","400,616","356,480","249,368","202,492","158,627","100,839","51,297","21,226","6,321","4,435"
"서울특별시 종로구 (1111000000)","74,662","74,662","1,916","2,385","2,723","3,493","5,382","6,466","5,120","5,341","4,893","6,660","6,381","6,544","5,593","3,659","2,962","2,628","1,486","618","224","113","75","78,218","78,218","1,861","2,340","2,620","3,491","5,724","6,066","5,144","5,523","5,345","6,863","6,439","6,409","5,451","4,005","3,665","3,294","2,094","1,093","461","169","161"
"서울특별시 종로구 청운효자동(1111051500)","6,088","6,088","210","265","341","388","418","392","392","473","449","575","505","439","342","233","216","224","137","52","23","11","3","6,922","6,922","203","256","297","323","405","416","427","591","614","681","568","470","408","332","325","277","186","89","28","13","13"
"서울특별시 종로구 사직동(1111053000)","4,313","4,313","143","195","182","179","233","314","312","304","309","386","342","352","314","195","180","165","123","53","22","7","3","5,271","5,271","148","180","201","218","295","359","378","420","427","448","431","413","340","268","232","206","169","75","32","17","14"
"서울특별시 종로구 삼청동(1111054000)","1,328","1,328","30","35","57","66","75","91","92","114","91","104","94","113","107","78","65","59","26","20","8","3","0","1,492","1,492","29","42","44","45","85","88","97","121","91","107","117","128","136","77","90","82","57","34","12","3","7"
"서울특별시 종로구 부암동(1111055000)","4,839","4,839","111","203","230","259","367","404","259","349","306","438","386","404","343","234","203","158","117","47","11","7","3","5,303","5,303","122","172","195","249","327","331","323","390","368","521","481","443","417","245","240","207","136","75","40","14","7"
"서울특별시 종로구 평창동(1111056000)","8,859","8,859","284","325","396","580","705","685","502","569","534","752","743","787","642","435","320","292","186","80","23","9","10","10,022","10,022","274","330","381","517","678","595","566","692","679","954","939","862","746","444","446","358","263","163","87","32","16"
"서울특별시 종로구 무악동(1111057000)","3,953","3,953","131","197","231","258","231","201","170","250","325","471","341","328","255","173","142","110","81","32","11","5","10","4,462","4,462","145","239","258","297","264","231","193","307","366","456","320","340","290","209","177","183","106","46","21","9","5"
"서울특별시 종로구 교남동(1111058000)","4,987","4,987","249","234","208","203","310","319","407","486","417","494","391","360","299","190","142","155","80","23","13","2","5","5,717","5,717","233","230","209","252","307","414","476","541","467","526","401","409","369","262","219","202","111","52","19","10","8"
"서울특별시 종로구 가회동(1111060000)","2,060","2,060","49","66","88","103","129","113","119","175","157","204","180","167","144","108","96","87","41","24","5","3","2","2,352","2,352","39","68","77","107","111","148","139","173","174","247","180","204","152","140","135","127","59","36","27","4","5"
