NO,최초입사연도,산지,마번,마명,생산국,성별,털색,부마,모마,생산자,경매일,경매가,최초경주마입사일,출전,1위횟수,2위횟수,수득상금,승률,최고군,최초출전일,입사시조,입사시조교사,최초출발검사합격일,출생년도,심사 합격마,육성훈련합격일,육성조련사,경주마가격,포입여부
6720,2021,국산,44835,마이티렘,한국,암,갈색,LEMON DROP KID,레이디스트럭골드,김상욱,,,2021-12-19,,,,,,,,24,서홍수,2022-01-20,2019,1,2021-12-09,김영주,,포입말
6119,2021,국산,43933,아라챔프,한국,암,밤색,투아너앤드서브,에코블루,고양진,,,2021-12-18,,,,,,,,33,서인석,2022-01-05,2019,1,2021-12-09,김경남,,
6538,2021,국산,44524,그레이룰즈,한국,암,갈색,피스룰즈,그레이스톤,장철환,,,2021-12-12,,,,,,,,21,민장기,2022-01-29,2019,1,2021-12-09,이경하,,
6916,2021,국산,44661,포에버아이시,한국,암,갈색,모닝캄,아이시미니스터,최상일,,,2021-12-25,,,,,,,,33,서인석,2022-01-12,2019,1,2021-11-25,김경남,,
6039,2021,국산,43960,히든브레인,한국,암,갈색,컬러즈플라잉,쾌도신화,김상욱,,,2021-12-04,,,,,,,,9,강성오,2022-01-13,2019,1,2021-11-25,양승희,,
6329,2021,국산,44230,은혜가이,한국,수,흑갈색,테이크차지인디,로켓하버,전동호,,,2021-11-27,,,,,,6,,27,박병일,2022-02-10,2019,1,2021-11-25,한국생협B,"20,000,000",
5897,2021,국산,43973,호랑가시,한국,암,갈색,록하드텐,검은나비,권자수,,,2021-11-28,1,0,0,,0,6,2022-03-04,9,양귀선,2021-12-25,2019,1,2021-11-12,김용선,,
6706,2021,국산,44578,위대한선택,한국,수,밤색,메니피,미첼즈로즈,오영복,,,2021-11-14,3,0,0,7200000,0,6,2022-01-23,33,권승주,2021-12-15,2019,1,2021-11-12,박복규,"20,000,000",
6098,2021,국산,44833,리저브드존,한국,암,갈색,밥앤드존,리저브드포투,이시돌협회,,,2021-11-13,2,0,0,7600000,0,6,2022-02-19,31,강환민,2022-01-26,2019,1,2021-11-12,고명주,,
6591,2021,국산,44003,국대클래스,한국,거,갈색,선더모카신,선시드,강성훈,,,2021-11-13,,,,,,6,,16,최봉주,2021-12-22,2019,1,2021-11-12,최종필,"5,000,000",
6296,2021,국산,45041,우승여걸,한국,암,흑갈색,애니기븐새터데이,우승데이,이영선,,,2021-11-21,1,0,0,,0,6,2022-02-27,14,윤영훈,2022-01-22,2019,1,2021-11-12,홍성호,"17,000,000",
6127,2021,국산,44032,명동의봄,한국,거,갈색,커널존,럭키뮤직,윤흥열,,,2021-11-20,,,,,,6,,4,박윤규,2021-12-01,2019,1,2021-11-12,박복규,"35,000,000",
6532,2021,국산,47045,베스트챔피언,한국,수,갈색,컬러즈플라잉,윈드레이디Ⅱ,이정원,,,2021-12-05,,,,,,,,12,조용배,,2019,1,2021-11-12,김용선,"15,000,000",
6566,2021,국산,45026,월드포에이,한국,수,밤색,컬러즈플라잉,샌드월드,권호영,,,2021-12-17,,,,,,,,19,김영관,2022-01-22,2019,1,2021-11-12,고명주,,
6912,2021,국산,45029,봉아름캣,한국,수,갈색,컬러즈플라잉,러브마이와일드캣,양희철,,,2021-11-21,,,,,,,,10,구민성,,2019,1,2021-11-12,전호용,,
6844,2021,국산,44409,동트자웨이,한국,수,갈색,티즈웨이,동트자,임화정,,,2021-11-20,1,0,0,,0,6,2022-03-13,10,정호익,2021-12-09,2019,1,2021-11-12,고명주,"15,000,000",
6387,2021,국산,44260,나스티챔프,한국,수,갈색,UPSTART,나스티캣,벽상영농조합법인,,,2021-12-25,,,,,,,,52,김동균,2022-03-03,2019,1,2021-11-11,김경남,"50,000,000",포입말
6695,2021,국산,44096,위즈업,한국,수,밤색,메니피,믹스업,강순옥,2021-07-06,"65,000,000",2021-11-20,1,0,0,,0,6,2022-02-20,40,송문길,2021-12-15,2019,1,2021-11-11,양승희,"65,000,000",
6771,2021,국산,44608,닥터페르시아,한국,수,갈색,메니피,파티나,강문혁,2021-03-23,"45,000,000",2021-12-05,1,0,0,1600000,0,6,2022-02-27,1,백광열,2021-12-22,2019,1,2021-11-11,전기혁,"45,000,000",
6465,2021,국산,44324,디자이어투윈,한국,거,갈색,선더모카신,퀸즈스텝,송용만,,,2021-11-20,,,,,,,,51,최용건,2022-03-16,2019,1,2021-11-11,이재현,,
5950,2021,국산,43803,어나더레벨,한국,암,갈색,에치드,헤이퀸,정환,2021-07-06,"25,000,000",2021-11-13,1,0,0,5600000,0,6,2022-03-05,25,전승규,2022-01-19,2019,1,2021-11-11,한국생협A,"25,000,000",
6722,2021,국산,45070,행복한버미,한국,수,밤색,지롤라모,레디투파티,벽상영농조합법인,2021-07-06,"25,000,000",2021-11-20,,,,,,,,24,서홍수,2022-01-19,2019,1,2021-11-11,김영주,"25,000,000",
6777,2021,국산,44636,케이엔스케치,한국,수,갈색,컬러즈플라잉,옥녀봉,임정균,,,2021-11-20,2,0,0,2000000,0,6,2022-01-22,18,박대흥,2021-12-08,2019,1,2021-11-11,한국생협B,,
5939,2021,국산,44025,한가위선물,한국,암,갈색,경부대로,명가캠프,박승현,,,2021-11-06,,,,,,6,,22,안병기,2021-11-18,2019,1,2021-10-29,고명주,"25,000,000",
6801,2021,국산,44641,파워투데이,한국,암,밤색,투아너앤드서브,유머러스스타일,강영종,,,2021-11-14,1,0,0,,0,6,2022-03-04,19,김영관,2021-12-11,2019,1,2021-10-29,홍성호,"20,000,000",
6562,2021,국산,44530,팍스트레인,한국,거,갈색,맘보트레인,팍스라이,최민석,,,2021-10-31,,,,,,,,16,김재섭,2021-12-04,2019,1,2021-10-28,이경하,,
6040,2021,국산,43982,엠제이타임,한국,암,밤색,에치드,스마트타임,이상영,,,2021-12-04,2,0,0,,0,6,2022-01-30,50,박재우,2022-01-12,2019,1,2021-10-28,윤대근,"50,000,000",
6818,2021,국산,44722,서귀대로,한국,암,갈색,에치드,윙드스플렌더,이상영,,,2021-12-12,,,,,,,,14,윤영훈,2022-02-19,2019,1,2021-10-28,한국생협A,"17,000,000",
6855,2021,국산,44360,베를린스타,한국,수,갈색,지롤라모,베를린뷰티,양은석,,,2021-11-27,1,0,0,,0,6,2022-03-06,52,김동균,2022-01-06,2019,1,2021-10-28,윤대근,"15,000,000",
6301,2021,국산,44178,정문질주,한국,수,갈색,커널존,로열제이,김성묵,,,2021-11-06,1,0,0,,0,6,2022-02-20,6,홍대유,2021-11-24,2019,1,2021-10-28,윤대근,"20,000,000",
6407,2021,국산,44386,위대한한마,한국,암,회색,한센,마오노,권광세,,,2021-11-13,2,0,0,1600000,0,6,2022-01-16,50,박재우,2021-12-08,2019,1,2021-10-28,이재현,"18,150,000",
